Sample,income,job satisfaction
1,3.862647418,2.314488983
2,4.979381382,3.433489759
3,4.923956936,4.599373404
4,3.214372439,2.791113803
5,7.196409251,5.596398273
6,3.729643479,2.458555872
7,4.674517389,3.192991809
8,4.498103821,1.907136833
9,3.121630526,2.942449872
10,2.987882,
11,4.639914435,3.737941605
12,4.632839514,3.175406147
13,2.773178895,2.009046461
14,7.119478595,5.951814099
15,7.466653196,5.960547308
16,2.117742331,1.445798858
17,2.55916582,2.898583142
18,2.35479322,1.231167524
19,2.388157248,2.312988055
20,4.755680274,2.666116035
21,1.994275047,2.584729022
22,7.310916026,5.747444104
23,3.528318956,2.546524587
24,2.428751675,1.200785525
25,3.542747875,3.078293381
26,5.227201239,4.317760919
27,6.69199314,5.381478737
28,3.900409939,3.565224319
29,2.291055478,0.953412996
30,2.380512706,2.169161261
31,2.549608776,2.060794311
32,6.933295827,6.299101259
33,1.855645173,1.590355862
34,3.589023138,2.250929414
35,6.826477911,5.9142477
36,2.070601883,2.191833702
37,5.224205274,5.767814366
38,2.24311363,0.97288292
39,7.076166367,5.010577427
40,4.190672496,2.239664992
41,1.95648612,1.927578829
42,5.061758185,3.35807157
43,3.982189934,2.400087291
44,3.06505862,3.407980039
45,3.68287749,2.576176307
46,3.789429291,2.473079377
47,5.358715665,3.752659492
48,5.196119777,4.087631183
49,5.241189571,3.543203654
50,7.101619593,5.34835294
51,3.424021093,3.056376653
52,2.253399021,1.558422563
53,5.370336904,3.225132752
54,6.225606,5.034231009
55,5.482862234,3.857424259
56,4.034172109,3.61905549
57,6.510218719,4.004537739
58,6.029213862,4.802091807
59,6.949112894,4.658890392
60,7.195037289,5.231702968
61,2.757338498,2.480606467
62,6.956079482,5.498147193
63,4.670192578,4.550636958
64,6.368292668,3.570013567
65,6.166681166,4.719665333
66,6.074158292,4.503108168
67,5.484718965,5.046081775
68,1.589574738,0.669715948
69,1.680473928,1.606072357
70,5.499947957,4.826602696
71,4.043890903,2.208240516
72,5.005093241,4.056493099
73,4.863581726,3.567905233
74,1.506275045,1.308487263
75,2.864663845,4.1596093
76,5.877906294,4.633915057
77,6.483983789,5.068747881
78,4.938036592,3.040797294
79,5.625434421,3.804298861
80,7.228265215,5.034003785
81,5.337460294,3.703437932
82,2.82582659,2.188938121
83,5.931366673,5.538047529
84,3.520255202,3.583875162
85,3.239940593,3.09688561
86,3.498386369,2.200982172
87,7.186112258,5.151598289
88,4.719166072,5.950986328
89,3.594801958,2.968187102
90,3.233942432,2.399561326
91,1.514153223,0.859499052
92,4.002537064,1.775932552
93,6.19810376,4.661261209
94,2.280650861,0.727221191
95,2.189865512,0.771286567
96,3.434151134,3.348788206
97,5.932269677,3.966215411
98,5.307839437,2.890447416
99,5.664344909,3.773260652
100,7.439247611,6.359600004
101,2.134702147,0.268722097
102,6.501274722,4.374832318
103,3.651183174,2.155843323
104,2.286495392,1.89355686
105,4.748859137,4.902991575
106,5.459160761,4.833506427
107,3.433064765,3.172299463
108,7.176399653,5.029951665
109,5.506395117,4.261013003
110,3.097615732,1.67239058
111,4.647555992,1.497024128
112,1.828306344,1.265488916
113,3.534566235,2.667465435
114,4.60617584,1.999325527
115,5.361503134,5.231863313
116,6.879333037,5.21140132
117,4.317032306,3.661656456
118,3.38316358,1.415034656
119,4.932207232,4.933044092
120,4.935596519,4.130778265
121,2.601553311,2.282266934
122,5.711263543,3.901170334
123,6.117530552,4.691998851
124,3.771415149,3.577800675
125,7.11722011,5.562545475
126,2.194881851,2.39322812
127,5.952001916,3.56472374
128,3.922302763,2.253721516
129,7.081589058,4.121647747
