total_bill,Tip percent,day,time,size
16.99,0.059446733,Sun,Dinner,2
10.34,0.160541586,Sun,Dinner,3
21.01,0.166587339,Sun,Dinner,3
23.68,0.139780405,Sun,Dinner,2
24.59,0.146807645,Sun,Dinner,4
25.29,0.18623962,Sun,Dinner,4
8.77,0.228050171,Sun,Dinner,2
26.88,0.116071429,Sun,Dinner,4
15.04,0.130319149,Sun,Dinner,2
14.78,0.218538566,Sun,Dinner,2
10.27,0.166504382,Sun,Dinner,2
35.26,0.141803744,Sun,Dinner,4
15.42,0.101815824,Sun,Dinner,2
18.43,0.162778079,Sun,Dinner,4
14.83,0.203641268,Sun,Dinner,2
21.58,0.181649676,Sun,Dinner,2
10.33,0.161665053,Sun,Dinner,3
16.29,0.227747084,Sun,Dinner,3
16.97,0.206246317,Sun,Dinner,3
20.65,0.162227603,Sat,Dinner,3
17.92,0.227678571,Sat,Dinner,2
20.29,0.135534746,Sat,Dinner,2
15.77,0.141407736,Sat,Dinner,2
39.42,0.192288179,Sat,Dinner,4
19.82,0.160443996,Sat,Dinner,2
17.81,0.131386861,Sat,Dinner,4
13.37,0.149588631,Sat,Dinner,2
12.69,0.157604413,Sat,Dinner,2
21.7,0.198156682,Sat,Dinner,2
19.65,0.152671756,Sat,Dinner,2
9.55,0.151832461,Sat,Dinner,2
18.35,0.136239782,Sat,Dinner,4
15.06,0.199203187,Sat,Dinner,2
20.69,0.118414693,Sat,Dinner,4
17.78,0.183914511,Sat,Dinner,2
24.06,0.149625935,Sat,Dinner,3
16.31,0.122624157,Sat,Dinner,3
16.93,0.181334908,Sat,Dinner,3
18.69,0.123595506,Sat,Dinner,3
31.27,0.159897665,Sat,Dinner,3
16.04,0.139650873,Sat,Dinner,3
17.46,0.145475372,Sun,Dinner,2
13.94,0.219512195,Sun,Dinner,2
9.68,0.136363636,Sun,Dinner,2
30.4,0.184210526,Sun,Dinner,4
18.29,0.164024057,Sun,Dinner,2
22.23,0.224921278,Sun,Dinner,2
32.4,0.185185185,Sun,Dinner,4
28.55,0.071803853,Sun,Dinner,3
18.04,0.166297118,Sun,Dinner,2
12.54,0.199362041,Sun,Dinner,2
10.29,0.252672498,Sun,Dinner,2
34.81,0.149382361,Sun,Dinner,4
9.94,0.15694165,Sun,Dinner,2
25.56,0.169796557,Sun,Dinner,4
19.49,0.180092355,Sun,Dinner,2
38.01,0.078926598,Sat,Dinner,4
26.41,0.056796668,Sat,Dinner,2
11.24,0.15658363,Sat,Dinner,2
48.27,0.139424073,Sat,Dinner,4
20.29,0.158206013,Sat,Dinner,2
13.81,0.144822592,Sat,Dinner,2
11.02,0.179673321,Sat,Dinner,2
18.29,0.205576818,Sat,Dinner,4
17.59,0.150085276,Sat,Dinner,3
20.08,0.15687251,Sat,Dinner,3
16.45,0.150151976,Sat,Dinner,2
3.07,0.325732899,Sat,Dinner,1
